City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nelson bay,-32.7167,152.15,22.22,94,10,5.36,AU,1681349483
84,lashio,22.9333,97.75,28.36,16,0,0.47,MM,1681349484
85,xining,36.6167,101.7667,9.05,30,8,4.58,CN,1681349371
86,constitucion,-35.3333,-72.4167,11.94,94,72,1.71,CL,1681349332
87,inuvik,68.3499,-133.7218,-15.58,46,75,3.6,CA,1681349421
88,aksarka,66.5606,67.7975,-25.7,94,66,1.75,RU,1681349367
89,barrow,71.2906,-156.7887,-19.99,71,0,4.63,US,1681349300
90,tual,-5.6667,132.75,28.61,75,76,3.65,ID,1681349484
91,mar del plata,-38.0023,-57.5575,11.16,90,40,3.6,AR,1681349299
92,shellbrook,53.2168,-106.4011,6.57,74,26,3.2,CA,1681349464
93,yenagoa,4.9247,6.2642,24.78,93,12,1.42,NG,1681349485
94,tanout,14.9709,8.8879,22.52,13,28,5.26,NE,1681349485
95,kavieng,-2.5744,150.7967,28.07,73,98,3.55,PG,1681349339
96,karratha,-20.7377,116.8463,31.22,56,100,5.09,AU,1681349485
97,ilave,-16.0833,-69.6667,5.73,61,99,1.35,PE,1681349486
98,patacamaya,-17.2333,-67.9167,11.39,52,100,2.12,BO,1681349486
99,oktyabrskoye,43.0645,44.7417,12.08,81,100,4.0,RU,1681349486
100,rabo de peixe,37.8,-25.5833,14.73,82,75,2.57,PT,1681349486
101,mogadouro,41.3403,-6.7119,4.03,88,100,1.83,PT,1681349486
102,zemio,5.0314,25.1361,20.15,95,100,1.37,CF,1681349486
103,torbay,47.6666,-52.7314,1.27,94,100,5.14,CA,1681349322
104,viedma,-40.8135,-62.9967,9.79,55,41,6.1,AR,1681349236
105,jalu,29.0331,21.5482,14.56,38,0,1.71,LY,1681349441
106,ust-kut,56.7938,105.7672,-2.97,60,55,3.53,RU,1681349487
107,ilulissat,69.2167,-51.1,-5.99,100,100,0.0,GL,1681349336
108,latur,18.4,76.5833,30.91,25,94,1.93,IN,1681349487
109,carutapera,-1.195,-46.02,24.32,94,83,1.86,BR,1681349487
110,sao filipe,14.8961,-24.4956,22.38,78,62,3.74,CV,1681349432
111,qaqortoq,60.7167,-46.0333,-0.58,82,100,2.36,GL,1681349488
112,hun,29.1268,15.9477,16.84,16,0,2.85,LY,1681349488
113,kochkurovo,54.0358,45.4184,6.65,49,98,3.34,RU,1681349488
114,wairoa,-39.0333,177.3667,19.19,80,32,2.68,NZ,1681349488
115,buraydah,26.326,43.975,16.25,27,100,4.02,SA,1681349488
116,vabalninkas,55.9667,24.75,8.82,84,100,2.58,LT,1681349488
117,brae,60.3964,-1.353,5.42,84,54,6.01,GB,1681349425
118,guerrero negro,27.9769,-114.0611,15.5,75,100,8.31,MX,1681349301
119,speedway,39.8023,-86.2672,21.22,40,0,4.12,US,1681349489
120,worland,44.0169,-107.9554,18.64,33,0,3.09,US,1681349489
121,chuy,-33.6971,-53.4616,16.54,72,98,6.29,UY,1681349411
122,ixtapa,20.7,-105.2,24.57,69,40,4.12,MX,1681349489
123,vardo,70.3705,31.1107,-1.01,74,12,6.69,NO,1681349378
124,sobolevo,54.4299,31.8996,8.39,66,100,3.4,RU,1681349489
125,seoul,37.5683,126.9778,13.76,29,40,2.57,KR,1681349232
126,longyearbyen,78.2186,15.6401,-0.09,74,75,5.14,SJ,1681349333
127,yetkul,54.8221,61.588,5.49,57,2,3.02,RU,1681349490
128,mahebourg,-20.4081,57.7,24.03,94,20,3.09,MU,1681349375
129,cape town,-33.9258,18.4232,17.43,77,75,1.54,ZA,1681349224
130,parit buntar,5.1267,100.4932,30.99,78,15,0.9,MY,1681349490
131,los llanos de aridane,28.6585,-17.9182,16.86,77,20,4.12,ES,1681349490
132,jieshi,22.8134,115.8257,22.21,72,89,7.17,CN,1681349491
133,chimala,-8.85,34.0167,16.89,94,49,1.03,TZ,1681349491
134,kruisfontein,-34.0033,24.7314,11.05,72,8,2.92,ZA,1681349317
135,pula,44.8683,13.8481,12.31,66,75,4.12,HR,1681349491
136,chumikan,54.7183,135.315,-2.48,79,100,8.82,RU,1681349492
137,samarskoye,46.9336,39.6814,12.69,96,100,6.9,RU,1681349492
138,alice springs,-23.7,133.8833,24.75,36,100,5.66,AU,1681349179
139,bathsheba,13.2167,-59.5167,26.34,69,40,6.69,BB,1681349492
140,khanewal,30.3,71.9333,27.2,28,0,0.77,PK,1681349492
141,yellowknife,62.456,-114.3525,-1.71,69,75,3.09,CA,1681349304
142,fortuna,40.5982,-124.1573,10.19,70,6,4.02,US,1681349374
143,castro,-24.7911,-50.0119,15.91,87,3,1.46,BR,1681349314
144,panzhihua,26.5851,101.7128,24.45,22,0,0.36,CN,1681349493
145,ravar,31.2656,56.8055,22.07,27,97,8.18,IR,1681349493
146,erenhot,43.6475,111.9767,11.87,19,100,2.32,CN,1681349493
147,putten,52.25,5.6,7.13,92,100,0.45,NL,1681349493
148,saskylakh,71.9167,114.0833,-9.71,93,100,6.43,RU,1681349330
149,bambous virieux,-20.3428,57.7575,24.01,94,20,3.09,MU,1681349435
150,atlantic city,39.3643,-74.4229,24.1,37,0,3.09,US,1681349494
151,vaini,-21.2,-175.2,31.09,70,40,7.2,TO,1681349324
